Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
Tyler Boyd CIN ,https://s3.amazonaws.com/ryaong792/WR/T.Boyd.jpg,93,1.6,10.3,0.1,35.2,389.9,1.8,1.4,48.1
Brian Quick WAS ,https://s3.amazonaws.com/ryaong792/WR/B.Quick.jpg,94,0,0,0,26,363,2.1,0.4,48.1
Paul Richardson SEA ,https://s3.amazonaws.com/ryaong792/WR/P.Richardson.jpg,95,0.5,2,0,26.3,349.7,2.1,0.2,47.4
Brandon Coleman NO ,https://s3.amazonaws.com/ryaong792/WR/B.Coleman.jpg,96,0,0,0,27.2,341.4,2.3,0.3,47.3
Vincent Jackson TB ,https://s3.amazonaws.com/ryaong792/WR/V.Jackson.jpg,97,0,0,0,25,350,2,0,47
Eli Rogers PIT ,https://s3.amazonaws.com/ryaong792/WR/E.Rogers.jpg,98,0,0,0,30.7,371.5,2.1,1.4,46.8
Cecil Shorts TB ,https://s3.amazonaws.com/ryaong792/WR/C.Shorts.jpg,99,0,0,0,30,376,1.5,0.6,45.4
Laquon Treadwell MIN ,https://s3.amazonaws.com/ryaong792/WR/L.Treadwell.jpg,100,0.5,2,0,30.2,337.7,2.1,0.6,45.4
Chris Conley KC ,https://s3.amazonaws.com/ryaong792/WR/C.Conley.jpg,101,0,0,0,30.7,352.4,1.6,0.4,44.2
Taywan Taylor TEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,102,0,0,0,24.3,309.6,2.3,0.5,43.6
Carlos Henderson DEN ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,103,0,0,0,26.8,342.3,1.8,0.8,43.2
Malcolm Mitchell NE ,https://s3.amazonaws.com/ryaong792/WR/M.Mitchell.jpg,104,0,0,0,24.5,303.1,2.2,0.3,43.1
Braxton Miller HOU ,https://s3.amazonaws.com/ryaong792/WR/B.Miller.jpg,105,5,30.3,0.1,27.2,288.9,1.7,0.3,42.3
Travis Benjamin LAC ,https://s3.amazonaws.com/ryaong792/WR/T.Benjamin.jpg,106,0.5,1,0,26.1,350.3,2.2,3.4,41.5
Geronimo Allison GB ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,107,0,0,0,23.5,308.5,1.8,0.3,41.1
Michael Floyd MIN ,https://s3.amazonaws.com/ryaong792/WR/M.Floyd.jpg,108,0.5,2.5,0,25.5,291.7,2,0.3,40.8
Brice Butler DAL ,https://s3.amazonaws.com/ryaong792/WR/B.Butler.jpg,109,0,0,0,19.5,284.5,2.2,0.3,40.8
Michael Campanaro BAL ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,110,3.8,23.9,0.1,26.6,293.5,1.5,0.3,40.7
