Player,Image,Rank,RushATT,RushYDS,RushTDS,ReceivingREC,ReceivingYDS,ReceivingTDS,MiscFL,MiscFPTS
LeGarrette Blount PHI ,https://s3.amazonaws.com/ryaong792/RB/L.Blount.jpg,34,170.9,687.9,6.9,10,71.4,0.3,2.1,114.9
Jonathan Stewart CAR ,https://s3.amazonaws.com/ryaong792/RB/J.Stewart.jpg,35,172.3,718.6,6.1,11.9,94,0.3,3.4,113.3
Danny Woodhead BAL ,https://s3.amazonaws.com/ryaong792/RB/D.Woodhead.jpg,36,83.1,341.2,2.2,61.9,475.6,3,1,110.9
Latavius Murray MIN ,https://s3.amazonaws.com/ryaong792/RB/L.Murray.jpg,37,145.4,567.5,6.2,25.3,174.3,0.7,2.4,110.4
Duke Johnson CLE ,https://s3.amazonaws.com/ryaong792/RB/D.Johnson-CLE.jpg,38,96.2,420,2.4,56,472.8,1.3,1.4,108.5
Robert Kelley WAS ,https://s3.amazonaws.com/ryaong792/RB/R.Kelley.jpg,39,163.3,667.1,4.8,16.1,124,0.5,1.5,107.9
Derrick Henry TEN ,https://s3.amazonaws.com/ryaong792/RB/D.Henry.jpg,40,135.6,579.3,4.5,16.9,154.5,0.7,1.2,102.2
Samaje Perine WAS ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,41,135.5,556.6,4.7,20.6,164.9,0.5,1.8,99.8
Terrance West BAL ,https://s3.amazonaws.com/ryaong792/RB/T.West.jpg,42,146.7,593.8,3.8,21,142.5,0.8,1,99.2
James White NE ,https://s3.amazonaws.com/ryaong792/RB/J.White.jpg,43,61.5,248.6,2.3,48.8,432.7,3.4,1.4,99.1
C.J. Prosise SEA ,https://s3.amazonaws.com/ryaong792/RB/C.Prosise.jpg,44,79.1,378.3,2.4,37.1,371,1.4,1,95.7
Jamaal Charles DEN ,https://s3.amazonaws.com/ryaong792/RB/J.Charles.jpg,45,109,496.6,3,31.4,262,1.8,4.7,95.1
Darren Sproles PHI ,https://s3.amazonaws.com/ryaong792/RB/D.Sproles.jpg,46,80.9,355.3,2.2,49.3,375.4,1.8,1.2,94.7
Giovani Bernard CIN ,https://s3.amazonaws.com/ryaong792/RB/G.Bernard.jpg,47,97.1,400.4,2.5,38,309.5,1.2,1.9,89.4
Kareem Hunt KC ,https://s3.amazonaws.com/ryaong792/QB/MissingPhoto.jpg,48,112.1,467.5,3.6,22.9,166.3,0.5,1.8,84.6
